class_name,prototype_type,prototype_text,num_descriptions,num_clusters
Abuse,core_action,"Repeated intentional physical force-striking, kicking, grabbing, dragging, shaking, or restraining-directed at vulnerable people or animals during close-range encounters.",48,2
Abuse,actor_object_interaction,"A dominant actor controls another person or animal through hands, ropes, sticks, barriers, or forced repositioning, while the target resists, falls, cries, or struggles.",48,2
Abuse,temporal_progression,"Ordinary caregiving or handling escalates into repeated harsh contact, pauses briefly, then resumes as the target remains confined, displaced, or unable to withdraw.",48,2
Abuse,scene_context,"Visual settings include homes, care areas, classrooms, yards, roadside spaces, and vehicles, with bystanders, furniture, gates, beds, or walls shaping movement.",48,2
Abuse,hard_negative_distinction,"Distinguish deliberate repeated force and pursuit from routine caregiving, playful contact, supervised restraint, consensual handling, or an isolated accidental collision.",48,2
Arrest,core_action,"Uniformed officers pursue, stop, and physically control a person or vehicle occupant, applying restraints and escorting them toward a waiting official vehicle.",44,2
Arrest,actor_object_interaction,"Officers open vehicle doors, reach inside, search belongings or occupants, secure wrists, and transfer a controlled person between the roadside and a transport vehicle.",44,2
Arrest,temporal_progression,"A pursuit or confrontation develops into a stop, officer convergence, physical restraint, searching, and eventual escorted removal while nearby traffic or pedestrians continue moving.",44,2
Arrest,scene_context,"Public roads, parking areas, building entrances, and indoor rooms show multiple uniformed officers coordinating around vehicles, occupants, doorways, and bystanders.",44,2
Arrest,hard_negative_distinction,"Distinct from routine traffic stops or coordinated crowd management, the defining pattern includes physical control, restraint application, and removal of a person.",44,2
Arson,core_action,"A person deliberately applies an ignition source to fuel or combustible material on a vehicle, structure, furnishing, vegetation, or ground, then moves away as flames become established.",41,2
Arson,actor_object_interaction,"An individual pours or spreads liquid fuel, places burning material, or throws a lit object onto accessible surfaces, creating direct contact between ignition and a targeted object.",41,2
Arson,temporal_progression,"Following ignition, small flames develop into sustained burning, spreading across nearby surfaces and producing smoke; the initiator retreats, while others may approach with water or inspect the area.",41,2
Arson,scene_context,"The behavior occurs near parked vehicles, building entrances, rooms, walls, furnishings, vegetation, or open ground, with visible fuel placement and fire affecting stationary surroundings.",41,2
Arson,hard_negative_distinction,"Distinguish from cooking, maintenance, ceremonial flames, or accidental brief ignition: this pattern shows deliberate fuel placement or thrown burning material followed by persistent, spreading fire.",41,2
Assault,core_action,"Multiple people engage in repeated close-range strikes, pushes, or forceful restraint, causing another person to stumble, fall, or remain on the ground while participants withdraw.",45,2
Assault,actor_object_interaction,"One or more individuals direct force toward a person through punching, kicking, grabbing, blocking, or pinning, occasionally using a stick or nearby object.",45,2
Assault,temporal_progression,"A sudden confrontation develops into pursuit or sustained physical contact, followed by a fall, attempted escape, intervention, separation, or departure from the scene.",45,2
Assault,scene_context,"The behavior occurs in shared public or enclosed spaces where groups gather around an individual, restrict movement, intervene, disperse, or assist afterward.",45,2
Assault,hard_negative_distinction,"Distinguish sustained harmful contact with retreat, restraint, or visible distress from brief accidental contact, playful movement, organized sport, routine crowding, or ordinary verbal disagreement.",45,2
Burglary,core_action,"One or more people force entry into a building, search interior spaces, gather portable property, and depart rapidly with it.",87,3
Burglary,actor_object_interaction,"People use tools, impacts, ropes, or vehicles to open barriers, remove secured objects, load selected items, and coordinate movement toward transport.",87,3
Burglary,temporal_progression,"Arrival by vehicle is followed by surveillance, forced access, searching and collecting objects, repeated trips outside, loading, and coordinated departure.",87,3
Burglary,scene_context,"Commercial or residential entrances show damaged doors, windows, counters, or storage areas, with multiple people moving goods between interior spaces and vehicles.",87,3
Burglary,hard_negative_distinction,"Routine delivery, moving, maintenance, or retail activity involves visible permission, orderly handling, and open transport without forced access, concealment, or hurried searching.",87,3
Explosion,core_action,"A sudden ignition produces bright flames, sparks, and thick smoke from a vehicle, object, or leaked material, with combustion remaining visibly intense rather than momentary.",29,2
Explosion,actor_object_interaction,"People or vehicles are positioned near an ignited vehicle or roadside object; flames and heat visibly affect adjacent surfaces, prompting occupants or bystanders to retreat and traffic to halt.",29,2
Explosion,temporal_progression,"The event begins with a flash or small flame, intensifies as fire spreads and smoke thickens, then diminishes into lingering smoke, scattered debris, or residual glowing areas.",29,2
Explosion,scene_context,"Typical settings include roads, parking areas, buildings, and open grounds where vehicles, structures, or stored materials provide visible surfaces for sudden ignition and spreading fire.",29,2
Explosion,hard_negative_distinction,"Brief headlights, exhaust, dust, steam, sparks, or reflections may resemble the initial flash, but they lack sustained flames, expanding smoke, heat effects, and retreating people.",29,2
Fighting,core_action,"Multiple people engage in sudden physical clashes involving pushing, striking, kicking, grabbing, and grappling, with participants falling, rising, and reestablishing contact.",45,2
Fighting,actor_object_interaction,"Participants may wield or swing nearby objects such as chairs, bottles, sticks, or tools, while others block, disarm, restrain, or pull them away.",45,2
Fighting,temporal_progression,"A tense exchange escalates from isolated contact to group grappling, followed by falls, intervention, temporary separation, and possible renewed contact.",45,2
Fighting,scene_context,"Crowded public or indoor settings show clustered participants, surrounding onlookers, blocked movement, scattered belongings, and people attempting to create distance.",45,2
Fighting,hard_negative_distinction,"Unlike organized play or routine jostling, participants show unscripted reciprocal force, defensive restraint, disorderly movement, and visible efforts to separate involved people.",45,2
Normal,core_action,"People and vehicles follow ordinary routes, repeatedly walking, driving, stopping, turning, entering, exiting, and continuing through shared spaces.",763,12
Normal,actor_object_interaction,"Individuals routinely handle documents, bags, merchandise, tools, and vehicles, exchanging objects, operating counters, opening doors, and organizing nearby areas.",763,12
Normal,temporal_progression,"Activity unfolds through repeated cycles of arrival, brief pauses, conversation, transactions, movement between areas, and departure, with different participants replacing one another over time.",763,12
Normal,scene_context,"Shared roads, workplaces, stores, corridors, dining areas, and public interiors show steady circulation, organized routines, and people using spaces for everyday purposes.",763,12
Normal,hard_negative_distinction,"Brief stops, queues, gatherings, and vehicle maneuvering remain coordinated and purposeful, with participants resuming ordinary movement rather than causing visible disruption.",763,12
RoadAccidents,core_action,"Moving vehicles unexpectedly collide with other vehicles, pedestrians, cyclists, barriers, or roadside structures, causing sudden stops, displacement, overturning, or obstruction.",125,4
RoadAccidents,actor_object_interaction,"Vehicles make contact with people, motorcycles, bicycles, or nearby objects; occupants and bystanders then approach, assist fallen individuals, inspect damage, or move around stopped vehicles.",125,4
RoadAccidents,temporal_progression,"Traffic approaches, turns, reverses, or changes lanes; contact occurs, vehicles stop or shift position, and surrounding people gather while traffic continues or disperses.",125,4
RoadAccidents,scene_context,"Roads, intersections, parking areas, and storefront surroundings show active vehicle movement, abrupt obstruction, displaced vehicles, gathering bystanders, and altered traffic flow.",125,4
RoadAccidents,hard_negative_distinction,"Unlike routine passing, parking, or orderly turning, the defining visual pattern is sudden contact followed by displaced people, stopped vehicles, and bystander response.",125,4
Robbery,core_action,"A person or group uses visible weapons, threats, or physical control to obtain valuables from others, then departs with the collected items.",143,5
Robbery,actor_object_interaction,"Individuals direct attendants or occupants to open registers, drawers, bags, or cabinets, remove cash and belongings, and transfer them into hands or containers.",143,5
Robbery,temporal_progression,"An ordinary approach shifts into weapon display or force, followed by controlled surrender, searching or collection of valuables, and rapid departure.",143,5
Robbery,scene_context,"Events occur around staffed counters, enclosed premises, homes, roadside areas, or vehicles, with occupants complying, retreating, crouching, or being physically controlled.",143,5
Robbery,hard_negative_distinction,"Unlike routine purchases or ordinary disagreements, visible coercion links weapon display or force with compelled surrender of property and purposeful escape.",143,5
Shooting,core_action,"A person raises and aims a handgun at nearby people, sometimes discharges it, while targets or bystanders fall, flee, crouch, or scatter.",27,2
Shooting,actor_object_interaction,"An armed person directs a handgun toward occupants or passersby, using threatening gestures while advancing, confronting, or pursuing them and controlling their movement.",27,2
Shooting,temporal_progression,"Routine activity is interrupted when a firearm appears; aiming or repeated discharge follows, then targets collapse or escape and the armed person withdraws.",27,2
Shooting,scene_context,"Visual settings include occupied rooms, counters, doorways, roadside areas, or parked vehicles where armed confrontation prompts abrupt, collective movement by nearby people.",27,2
Shooting,hard_negative_distinction,"Distinguish from ordinary firearm carrying, pointing during conversation, or people merely running: the defining pattern combines directed aiming, discharge, and immediate fear-driven reactions.",27,2
Shoplifting,core_action,"Individuals select merchandise, handle multiple items, conceal chosen goods in clothing or bags, and move away from displays or counters without completing ordinary purchase behavior.",29,2
Shoplifting,actor_object_interaction,"A person or small group manipulates merchandise, transfers items between hands or bags, uses companions as visual cover, and keeps selected goods out of open view.",29,2
Shoplifting,temporal_progression,"Browsing develops into repeated selection, inspection, concealment, regrouping, and departure, with brief pauses near counters or exits and companions coordinating movement.",29,2
Shoplifting,scene_context,"Retail aisles, display counters, and checkout approaches contain concentrated handling of goods, clustered companions, occluded hands, and movement away from merchandise areas.",29,2
Shoplifting,hard_negative_distinction,"Distinguish covert concealment and coordinated departure from ordinary browsing, product comparison, phone use, conversation, or returning items openly to displays.",29,2
Stealing,core_action,"People approach unattended vehicles or motorcycles, manipulate doors, locks, covers, or attached components, remove property or reposition the vehicle, then depart carrying items or riding away.",95,3
Stealing,actor_object_interaction,"One or more individuals inspect a parked vehicle, reach into compartments, handle belongings or parts, and transfer selected objects to a waiting car, motorcycle, bag, or carried container.",95,3
Stealing,temporal_progression,"The behavior progresses from arrival and surveillance to coordinated access, handling or removal, possible loading or repositioning, and departure on foot or in a vehicle.",95,3
Stealing,scene_context,"Typically occurs around parked cars or motorcycles in shared outdoor areas, with individuals lingering, watching surroundings, using tools or keys, and coordinating near waiting transport.",95,3
Stealing,hard_negative_distinction,"Distinguish from routine maintenance or authorized loading by concealed access, repeated checking of surroundings, unannounced removal, or departure with another person's property.",95,3
Vandalism,core_action,"People deliberately apply repeated force, kicks, impacts, or substances to vehicles, fixtures, barriers, or building surfaces, visibly altering, breaking, or displacing property.",44,2
Vandalism,actor_object_interaction,"One or more individuals approach an unattended object or structure, make direct damaging contact or mark its surface, then withdraw while avoiding normal use.",44,2
Vandalism,temporal_progression,"An approach develops into repeated impacts, marking, dismantling, or displacement; participants pause, reposition, and depart after visible changes accumulate.",44,2
Vandalism,scene_context,"Outdoor streets, storefronts, parking areas, and building exteriors show people interacting forcefully with stationary property, sometimes leaving scattered materials or disturbed surroundings.",44,2
Vandalism,hard_negative_distinction,"Distinguish deliberate repeated contact that changes property from routine parking, deliveries, maintenance, cleaning, lawful writing, or brief incidental touches without visible disruption.",44,2
