class_name,prototype_type,prototype_text,num_descriptions,num_clusters
Abuse,core_action,"Repeated forceful physical contact directed at another person or animal, including pushing, striking, kicking, restraining, or pursuing as the target tries to withdraw.",36,2
Abuse,actor_object_interaction,"One or more people control, pull, carry, or strike a vulnerable person or animal using hands, leashes, ropes, sticks, walls, beds, or mobility equipment.",36,2
Abuse,temporal_progression,"An initially tense interaction escalates through repeated contact and resistance, followed by pursuit, falling, continued restraint, attempted escape, or intervention by nearby people.",36,2
Abuse,scene_context,"Visible physical confrontations occur around homes, enclosed yards, roads, care environments, or public spaces, with bystanders, vehicles, barriers, or household equipment nearby.",36,2
Abuse,hard_negative_distinction,"Routine caregiving, leash handling, animal retrieval, or guiding someone away from danger remains coordinated and brief, unlike persistent force, pursuit, resistance, or visible distress.",36,2
Arrest,core_action,"Uniformed officers approach a person during a tense encounter, physically restrain them, secure their hands with cuffs, and escort or hold them while monitoring the surroundings.",41,2
Arrest,actor_object_interaction,"Officers make direct physical contact with a person, controlling their arms or body, applying restraint equipment, and coordinating with nearby personnel during containment.",41,2
Arrest,temporal_progression,"The scene progresses from approach or pursuit, through resistance and physical control, to hand restraint, escort, detention, or continued supervision.",41,2
Arrest,scene_context,"Visual context includes uniformed personnel, police vehicles, public roads or commercial areas, nearby bystanders, and a temporarily controlled space around people or vehicles.",41,2
Arrest,hard_negative_distinction,"Distinguish this from routine traffic stops or ordinary conversations by the combination of sustained physical control, secured hands, coordinated officers, and subsequent escort.",41,2
Arson,core_action,"A person or group deliberately applies combustible liquid or burning material to structures, vehicles, or furnishings, ignites it, and departs as flames develop.",18,2
Arson,actor_object_interaction,"Individuals handle containers, fuel, paper, or ignition sources near surfaces, spreading combustible material before producing visible flames and smoke across adjacent objects.",18,2
Arson,temporal_progression,"Activity progresses from approach and material placement to ignition, expanding flames and smoke, withdrawal or escape, and later observation, suppression, or residual burning.",18,2
Arson,scene_context,"Scenes show enclosed rooms, entrances, vehicles, or outdoor areas where combustible items are positioned together and fire visibly affects nearby surfaces, furnishings, or structures.",18,2
