class_index,class_name,rank_in_class,source_file,source_stem,source_prompts_per_class,prompt_index,selection_score,anchor_similarity,intra_prompt_similarity,inter_prompt_similarity,anchor_margin,best_other_anchor_class,best_other_anchor_similarity,raw_prompt_text,encoded_prompt_text
0,Normal,1,ucf_manual_class_prompts_10x.json,ucf_manual_class_prompts_10x,10,9,0.5094338834285735,0.8829088807106018,0.8020814657211304,0.863224983215332,0.03822273015975952,Stealing,0.8446861505508423,an orderly scene with predictable everyday human activity,normal an orderly scene with predictable everyday human activity
1,Abuse,1,ucf_manual_class_prompts_5x_v3.json,ucf_manual_class_prompts_5x_v3,5,0,0.5367644727230072,0.8929423093795776,0.908682644367218,0.9115573763847351,0.0182420015335083,Fighting,0.8747003078460693,a vulnerable victim enduring repeated close range mistreatment,abuse a vulnerable victim enduring repeated close range mistreatment
2,Arrest,1,ucf_manual_class_prompts_5x_v5.json,ucf_manual_class_prompts_5x_v5,5,3,0.5258317828178405,0.8786104321479797,0.8787702918052673,0.8855226039886475,0.0660434365272522,RoadAccidents,0.8125669956207275,a person being arrested by uniformed police officers,arrest a person being arrested by uniformed police officers
3,Arson,1,ucf_manual_class_prompts_5x_v4.json,ucf_manual_class_prompts_5x_v4,5,0,0.5394417941570282,0.8845054507255554,0.8843667507171631,0.8406047821044922,0.07489609718322754,Explosion,0.8096093535423279,a person lighting material before flames spread,arson a person lighting material before flames spread
4,Assault,1,ucf_manual_class_prompts_10x.json,ucf_manual_class_prompts_10x,10,5,0.5131625056266785,0.8600038886070251,0.8768779635429382,0.8995141386985779,0.058818280696868896,Arrest,0.8011856079101562,an attacker swinging arms repeatedly at another person,assault an attacker swinging arms repeatedly at another person
5,Burglary,1,ucf_manual_class_prompts_5x_v5.json,ucf_manual_class_prompts_5x_v5,5,0,0.4688107550144195,0.7626342177391052,0.8820357322692871,0.885585367679596,-0.01753067970275879,Robbery,0.780164897441864,a person illegally entering a building to steal property,burglary a person illegally entering a building to steal property
6,Explosion,1,ucf_manual_class_prompts_5x_v5.json,ucf_manual_class_prompts_5x_v5,5,1,0.539689540863037,0.8960120677947998,0.8742420673370361,0.8529455661773682,0.10351735353469849,Arson,0.7924947142601013,a powerful blast destroying an object or structure,explosion a powerful blast destroying an object or structure
7,Fighting,1,ucf_manual_class_prompts_5x_v5.json,ucf_manual_class_prompts_5x_v5,5,4,0.5450367450714111,0.8984078764915466,0.9127156138420105,0.8899093866348267,0.025581777095794678,Assault,0.872826099395752,a public fight where both sides are physically attacking,fighting a public fight where both sides are physically attacking
8,RoadAccidents,1,ucf_manual_class_prompts_5x_v3.json,ucf_manual_class_prompts_5x_v3,5,0,0.5507450699806213,0.9012333154678345,0.8970437049865723,0.8449234962463379,0.11844050884246826,Fighting,0.7827928066253662,a vehicle collision causing roadway impact and disruption,roadAccidents a vehicle collision causing roadway impact and disruption
9,Robbery,1,ucf_manual_class_prompts_5x_v4.json,ucf_manual_class_prompts_5x_v4,5,0,0.5395431220531463,0.8758230209350586,0.9370865225791931,0.8974717259407043,0.06351715326309204,Arrest,0.8123058676719666,a threatening person demanding valuables from a victim,robbery a threatening person demanding valuables from a victim
10,Shooting,1,ucf_manual_class_prompts_5x_v5.json,ucf_manual_class_prompts_5x_v5,5,2,0.5281782627105713,0.860084593296051,0.9057393670082092,0.867929220199585,0.04351091384887695,Robbery,0.8165736794471741,a shooting incident involving a visible gun,shooting a shooting incident involving a visible gun
11,Shoplifting,1,ucf_manual_class_prompts_5x_v5.json,ucf_manual_class_prompts_5x_v5,5,0,0.5430556654930114,0.8989613056182861,0.9156664609909058,0.9056246280670166,0.09617584943771362,Robbery,0.8027854561805725,a person secretly taking merchandise from a store without paying,shoplifting a person secretly taking merchandise from a store without paying
12,Stealing,1,ucf_manual_class_prompts_5x_v5.json,ucf_manual_class_prompts_5x_v5,5,1,0.5261917531490325,0.8762980699539185,0.8882489800453186,0.8921598792076111,0.007971763610839844,Arrest,0.8683263063430786,a person secretly stealing an unattended object,stealing a person secretly stealing an unattended object
13,Vandalism,1,ucf_manual_class_prompts_10x_v2.json,ucf_manual_class_prompts_10x_v2,10,5,0.5284387230873107,0.8744728565216064,0.8710943460464478,0.8506300449371338,0.07305800914764404,Stealing,0.8014148473739624,someone striking public property until visible damage appears,vandalism someone striking public property until visible damage appears
