class_name,prompt_index,prompt_text,own_class_similarity,best_other_class,best_other_similarity,other_minus_own,nearest_same_class_prompt_similarity
Assault,4,a person punching a victim during a one-sided confrontation,0.8039120435714722,Robbery,0.8999714851379395,0.09605944156646729,0.842048168182373
Vandalism,8,a suspect repeatedly hitting a fixture until it breaks,0.8632811307907104,Abuse,0.9178531765937805,0.05457204580307007,0.8385179042816162
Shooting,2,a muzzle flash appearing as a shooter targets someone,0.8701707124710083,Assault,0.9123148322105408,0.04214411973953247,0.893957257270813
Abuse,9,a hostile person hurting a defenseless target at close range,0.9051351547241211,Assault,0.9354262351989746,0.030291080474853516,0.9345536231994629
Arson,4,deliberate fire starting near property without an explosive blast,0.7745289206504822,Normal,0.7945020198822021,0.01997309923171997,0.7963840365409851
Explosion,2,a bright flash followed by rapid explosive pressure burst,0.8703708648681641,Fighting,0.8876504898071289,0.017279624938964844,0.9101357460021973
Robbery,2,a victim handing over belongings under close range intimidation,0.8785535097122192,Abuse,0.8898495435714722,0.01129603385925293,0.8799715042114258
Abuse,0,a surveillance frame of an aggressor striking a vulnerable victim,0.9449746608734131,Assault,0.9527108073234558,0.007736146450042725,0.9266551733016968
Abuse,4,an attacker cornering someone and delivering forceful blows,0.9658691883087158,Assault,0.9709303379058838,0.005061149597167969,0.957257866859436
Assault,3,an aggressor swinging arms repeatedly at another person,0.9443099498748779,Fighting,0.9479222297668457,0.0036122798919677734,0.9336162805557251
Robbery,3,a robber snatching property and escaping quickly,0.8934858441352844,Stealing,0.8944400548934937,0.0009542107582092285,0.8639016151428223
Abuse,8,a victim collapsing after repeated blows from another person,0.9650553464889526,Assault,0.9642466306686401,-0.0008087158203125,0.957257866859436
Abuse,3,a victim shielding their body from repeated physical mistreatment,0.847520649433136,Arrest,0.8452993631362915,-0.0022212862968444824,0.7975000739097595
Robbery,8,a person brandishing a weapon to demand property,0.8680500984191895,Shooting,0.8647373914718628,-0.00331270694732666,0.8023147583007812
Assault,6,a victim stumbling backward after a direct body hit,0.9735773205757141,Abuse,0.9689694046974182,-0.0046079158782958984,0.9437173008918762
Assault,5,an attacker kicking a fallen victim on the ground,0.9118992686271667,Abuse,0.9034709930419922,-0.00842827558517456,0.8901268839836121
Assault,0,an attacker lunging toward a victim with a forceful strike,0.9205286502838135,Abuse,0.9120904803276062,-0.008438169956207275,0.8901268839836121
Abuse,5,a person dragging a resisting victim across the floor,0.8785297870635986,Burglary,0.8679318428039551,-0.010597944259643555,0.8939040899276733
Vandalism,6,a person scratching and denting a parked vehicle,0.8400168418884277,RoadAccidents,0.8282424211502075,-0.011774420738220215,0.7628589868545532
Assault,1,"a close range attack with punches, kicks, and defense",0.9055385589599609,Fighting,0.8929238319396973,-0.012614727020263672,0.8997097015380859
Assault,8,a person shoving an opponent hard enough to lose balance,0.9659481048583984,Abuse,0.9532949924468994,-0.012653112411499023,0.9437173008918762
Explosion,6,a violent pressure burst scattering debris in every direction,0.9174927473068237,Fighting,0.9032888412475586,-0.014203906059265137,0.9101357460021973
Burglary,4,an intruder exiting through a damaged entry point,0.9116316437721252,Abuse,0.895754337310791,-0.01587730646133423,0.8901390433311462
Shoplifting,9,a retail theft scene with discreet concealment and exit,0.841524600982666,Stealing,0.8238778114318848,-0.01764678955078125,0.7689936757087708
Stealing,2,a suspect approaching a valuable item and carrying it away,0.9295166730880737,Robbery,0.910412609577179,-0.019104063510894775,0.9125258922576904
Stealing,1,"a thief grabbing a bicycle, bag, phone, or object",0.8656222820281982,Robbery,0.8448747396469116,-0.02074754238128662,0.8315612077713013
Arrest,9,law enforcement securing wrists of a compliant detained person,0.8702273368835449,Stealing,0.8489835262298584,-0.021243810653686523,0.8486136198043823
Fighting,5,"several combatants pushing, grappling, and striking simultaneously",0.9285632371902466,Assault,0.9061856269836426,-0.022377610206604004,0.933005690574646
Robbery,9,a robber approaching a victim and leaving with belongings,0.935533344745636,Stealing,0.9112220406532288,-0.024311304092407227,0.9115848541259766
Arson,1,a suspicious individual using a lighter on a flammable surface,0.8786488771438599,Robbery,0.854074239730835,-0.024574637413024902,0.889346718788147
Stealing,6,a suspect removing a package or bag from public space,0.8343605995178223,Robbery,0.8096392154693604,-0.024721384048461914,0.8078941106796265
Assault,7,an aggressor pursuing a target while continuing to strike,0.9279160499572754,Abuse,0.9027342796325684,-0.02518177032470703,0.9314345121383667
Vandalism,0,a person smashing a window or door with force,0.908575177192688,Burglary,0.8817925453186035,-0.026782631874084473,0.852658748626709
Arson,7,a suspicious person leaving as a small fire spreads,0.9199069738388062,Stealing,0.8925918340682983,-0.027315139770507812,0.9148368239402771
Abuse,7,a stronger aggressor overpowering a weaker person indoors,0.9634940028190613,Assault,0.9357618689537048,-0.027732133865356445,0.9466810822486877
Robbery,6,a coerced handover of valuables during visible intimidation,0.9054872393608093,Stealing,0.8774182796478271,-0.028068959712982178,0.8782967329025269
Vandalism,9,a person deliberately damaging property without taking anything,0.9123066663742065,Stealing,0.8832475543022156,-0.029059112071990967,0.9279707074165344
Vandalism,1,someone kicking a fixture until visible pieces break,0.8636455535888672,Fighting,0.8333579301834106,-0.030287623405456543,0.8495938777923584
Stealing,4,a person lifting property while the owner is distracted,0.8835711479187012,Burglary,0.8528127670288086,-0.030758380889892578,0.8493837118148804
Abuse,2,a dominant person grabbing and controlling a weaker victim,0.9591367244720459,Assault,0.9273760318756104,-0.03176069259643555,0.9466810822486877
Shooting,6,a shooter raising a gun while a crowd runs,0.9480690360069275,Assault,0.9158932566642761,-0.03217577934265137,0.9157063961029053
Stealing,7,a person pocketing an unattended item and changing direction,0.9438892602920532,Robbery,0.9112430214881897,-0.032646238803863525,0.9123893976211548
Shoplifting,4,a person scanning surroundings before pocketing merchandise,0.8885828256607056,Stealing,0.8559033870697021,-0.03267943859100342,0.8117218613624573
Burglary,3,a suspect searching drawers and shelves after unauthorized entry,0.8246129751205444,Shoplifting,0.7918775677680969,-0.03273540735244751,0.804944634437561
Robbery,5,an attacker cornering a victim and seizing personal items,0.9333783388137817,Stealing,0.9001975059509277,-0.033180832862854004,0.9183592796325684
Assault,9,a victim recoiling from repeated close range hits,0.9390196800231934,Abuse,0.9057067632675171,-0.03331291675567627,0.9388691782951355
Burglary,0,a surveillance frame of an intruder forcing a doorway,0.9005817174911499,Abuse,0.8654107451438904,-0.03517097234725952,0.8901390433311462
Vandalism,5,someone striking public property until visible damage appears,0.8978626728057861,Arson,0.8623325824737549,-0.03553009033203125,0.9279707074165344
Arson,9,human ignition causing flames to spread across property,0.9122337102890015,Explosion,0.8765350580215454,-0.035698652267456055,0.8943862915039062
Fighting,3,multiple people wrestling and swinging arms at each other,0.9067798852920532,Abuse,0.870834231376648,-0.03594565391540527,0.8920396566390991
Burglary,8,a person damaging a lock to access an interior space,0.9116950035095215,Stealing,0.8743568062782288,-0.037338197231292725,0.8688888549804688
Robbery,4,a person threatening a clerk and demanding money,0.8495995998382568,Shoplifting,0.8098955154418945,-0.039704084396362305,0.8407771587371826
Explosion,4,a large fireball appearing immediately after explosive detonation,0.8930917382240295,Arson,0.8532242774963379,-0.03986746072769165,0.8924555778503418
Fighting,7,multiple participants falling and rejoining a chaotic brawl,0.9684129953384399,Abuse,0.9283860325813293,-0.040026962757110596,0.931986927986145
Robbery,7,a suspect taking valuables while the victim backs away,0.9472960233688354,Stealing,0.9061166048049927,-0.04117941856384277,0.9183592796325684
Fighting,9,a mutual street fight with several active combatants,0.9513806700706482,Abuse,0.9093124270439148,-0.0420682430267334,0.9175170660018921
Burglary,2,a masked intruder breaking a barrier into private property,0.8954590559005737,Stealing,0.8532902002334595,-0.04216885566711426,0.8480775356292725
Assault,2,a victim shielding their face during a rapid attack,0.9272897243499756,Abuse,0.885002851486206,-0.04228687286376953,0.8922439217567444
Abuse,1,a person forcefully pushing a helpless victim against furniture,0.9259699583053589,Assault,0.8831708431243896,-0.04279911518096924,0.88660728931427
Fighting,8,people on both sides trading blows in close quarters,0.9398611783981323,Assault,0.8968919515609741,-0.0429692268371582,0.9373656511306763
Burglary,9,an intruder exiting a building with bags or electronics,0.868685245513916,Stealing,0.8241189122200012,-0.044566333293914795,0.829421877861023
Arson,2,a small flame spreading gradually after human ignition,0.9004955291748047,Explosion,0.8557066917419434,-0.04478883743286133,0.8943862915039062
Shooting,5,a victim falling after a nearby firearm is fired,0.9514398574829102,Assault,0.9063992500305176,-0.04504060745239258,0.9109036326408386
Arson,8,visible accelerant or lighter use before property begins burning,0.8897550106048584,Explosion,0.8431362509727478,-0.046618759632110596,0.8706910610198975
Fighting,0,two groups mutually exchanging punches in a crowded brawl,0.9493746757507324,Assault,0.9025717973709106,-0.04680287837982178,0.9288502931594849
Stealing,8,a thief quietly taking property during owner distraction,0.9007854461669922,Vandalism,0.8539333343505859,-0.04685211181640625,0.9196421504020691
Explosion,5,a shockwave pushing smoke and fragments away from impact,0.9052768349647522,Assault,0.8577679395675659,-0.04750889539718628,0.8996356129646301
Stealing,9,a thief carrying stolen property away from the scene,0.9583965539932251,Robbery,0.9108371734619141,-0.047559380531311035,0.9125258922576904
Abuse,6,a vulnerable person recoiling from sustained aggressive contact,0.938427209854126,Assault,0.8905155658721924,-0.047911643981933594,0.9260753989219666
Stealing,5,a thief cutting a lock and taking a bicycle,0.9124564528465271,Robbery,0.8633298873901367,-0.04912656545639038,0.8776866793632507
Fighting,2,opponents separating and reengaging repeatedly in a group fight,0.9735629558563232,Assault,0.9240409135818481,-0.0495220422744751,0.9373656511306763
Stealing,0,a person taking unattended property and leaving quickly,0.9404854774475098,Burglary,0.8895940184593201,-0.0508914589881897,0.9196421504020691
Fighting,1,several participants striking each other during mutual combat,0.9579220414161682,Assault,0.9053440690040588,-0.052577972412109375,0.9237538576126099
Vandalism,4,a vandal throwing an object at a storefront or car,0.8466755151748657,Robbery,0.7938495874404907,-0.052825927734375,0.8191787004470825
Shooting,3,a person firing a handgun and causing panic,0.9449540972709656,Robbery,0.8907973766326904,-0.054156720638275146,0.9195148944854736
Fighting,6,two sides clashing back and forth in public space,0.9362001419067383,Assault,0.8797465562820435,-0.056453585624694824,0.9093366265296936
Arrest,6,a handcuffed suspect standing between multiple police officers,0.8987812995910645,Shooting,0.8409469127655029,-0.05783438682556152,0.8763166666030884
RoadAccidents,8,a car hitting an obstacle with sudden debris,0.8664506077766418,Vandalism,0.8059049844741821,-0.06054562330245972,0.8279622197151184
Robbery,1,an aggressor confronting someone and taking a purse or wallet,0.8865590691566467,Stealing,0.825791597366333,-0.06076747179031372,0.8519784212112427
Vandalism,2,a suspect spraying graffiti onto a wall with a can,0.735727846622467,Shooting,0.673906683921814,-0.061821162700653076,0.7876948118209839
Burglary,1,a person prying a lock to enter a restricted room,0.9315153360366821,Robbery,0.8681843280792236,-0.0633310079574585,0.8847430944442749
Arson,0,a person deliberately igniting material near a property entrance,0.9189016819000244,Stealing,0.8536556363105774,-0.06524604558944702,0.8537346720695496
Burglary,6,a suspicious person slipping inside after a doorway opens,0.9462540745735168,Stealing,0.8806115388870239,-0.06564253568649292,0.8847430944442749
Stealing,3,unattended belongings disappearing after suspicious human contact,0.9017355442047119,Shoplifting,0.8354553580284119,-0.06628018617630005,0.864158034324646
Explosion,0,an instant blast wave with fireball and flying fragments,0.9183840751647949,Arson,0.8520541191101074,-0.0663299560546875,0.8505533933639526
Burglary,7,a burglar moving quietly through a room collecting valuables,0.906177282333374,Robbery,0.8381239175796509,-0.06805336475372314,0.8440521955490112
Vandalism,3,a person breaking glass with repeated tool impacts,0.8912557363510132,Robbery,0.8217114210128784,-0.06954431533813477,0.852658748626709
Explosion,3,an object erupting violently with an outward debris cloud,0.9116328954696655,Arson,0.8412202000617981,-0.07041269540786743,0.8764703273773193
Shoplifting,5,someone carrying an unpaid item past the cashier,0.905106782913208,Stealing,0.8310948014259338,-0.07401198148727417,0.8763424754142761
Explosion,7,a sudden explosive plume rising from a detonation point,0.9253406524658203,Arson,0.851016104221344,-0.07432454824447632,0.9201986193656921
Burglary,5,a person climbing through a window into closed property,0.9058592915534973,Vandalism,0.8314390182495117,-0.0744202733039856,0.8507740497589111
Shoplifting,8,a shopper leaving a store with concealed unpaid merchandise,0.9307752847671509,Stealing,0.8510916829109192,-0.07968360185623169,0.9048369526863098
Robbery,0,a threatening person forcing a victim to surrender valuables,0.92878657579422,Burglary,0.8486663103103638,-0.0801202654838562,0.8578758239746094
Arrest,8,a patrol team moving a suspect into police custody,0.9267843961715698,Shooting,0.8445665836334229,-0.08221781253814697,0.8474695682525635
Shooting,4,an armed attacker discharging a weapon in public,0.900047779083252,Arrest,0.8159673810005188,-0.08408039808273315,0.9034068584442139
Shooting,7,a gunfire scene with fear and rapid dispersal,0.9283260107040405,Vandalism,0.8417428731918335,-0.08658313751220703,0.8837701082229614
Arson,3,a person pouring accelerant before fire begins growing,0.9237307906150818,Explosion,0.8360893726348877,-0.08764141798019409,0.8759667873382568
Explosion,1,a sudden detonation producing shockwave and expanding smoke plume,0.9296942949295044,Arson,0.8392384052276611,-0.09045588970184326,0.9201986193656921
Shoplifting,7,a customer hiding one item while handling shelf products,0.9272112846374512,Stealing,0.83556067943573,-0.09165060520172119,0.9154530763626099
Arson,6,a slow fire growing after someone lights an object,0.9284140467643738,Explosion,0.8364579677581787,-0.09195607900619507,0.9148368239402771
Shooting,1,a gunman pointing a weapon as people scatter,0.9604785442352295,Robbery,0.8683315515518188,-0.09214699268341064,0.9157063961029053
Fighting,4,a crowd circling two sides fighting each other,0.9195469617843628,Assault,0.8259344696998596,-0.09361249208450317,0.8926876187324524
Shoplifting,1,a person removing a store item without checkout,0.930499792098999,Vandalism,0.8361692428588867,-0.0943305492401123,0.8770477175712585
Shoplifting,2,a customer hiding a product and exiting an aisle,0.9346569776535034,Stealing,0.8393718004226685,-0.09528517723083496,0.9154530763626099
Explosion,9,a concentrated detonation expanding outward within seconds,0.8867168426513672,Arson,0.7913174629211426,-0.09539937973022461,0.8450418710708618
RoadAccidents,0,"a vehicle collision causing impact, debris, and disruption",0.821780800819397,Explosion,0.7227725982666016,-0.09900820255279541,0.7820327281951904
Arson,5,a person crouching near combustible material before flames appear,0.8610897064208984,Explosion,0.759198784828186,-0.1018909215927124,0.8115487098693848
RoadAccidents,6,a rider thrown onto pavement after a high speed impact,0.9040611386299133,Stealing,0.799933910369873,-0.10412722826004028,0.8490003347396851
Shoplifting,0,a shopper concealing merchandise inside clothing or a bag,0.9138270616531372,Robbery,0.8095628023147583,-0.1042642593383789,0.9003506898880005
Shoplifting,3,a shopper slipping goods into a bag while browsing,0.9261941909790039,Stealing,0.8163520693778992,-0.10984212160110474,0.9048369526863098
Vandalism,7,a person painting graffiti directly onto public property,0.8132073879241943,Arson,0.7022943496704102,-0.11091303825378418,0.7876948118209839
RoadAccidents,5,a damaged vehicle stopped and blocking the roadway,0.8674957156181335,Vandalism,0.7494362592697144,-0.11805945634841919,0.8022104501724243
Explosion,8,"a rapid blast creating flash, shockwave, and airborne debris",0.9283774495124817,Arson,0.8096275329589844,-0.11874991655349731,0.8792908191680908
Shoplifting,6,concealed goods disappearing beneath a jacket in a store,0.8425790071487427,Stealing,0.7236124277114868,-0.11896657943725586,0.7818509340286255
Shooting,9,an armed shooter firing as people flee the scene,0.9452099800109863,Arrest,0.8225675225257874,-0.12264245748519897,0.9370204210281372
Shooting,8,a person aiming a rifle or handgun at a target,0.9271232485771179,Assault,0.8040465116500854,-0.12307673692703247,0.889487624168396
RoadAccidents,1,a car striking a pedestrian or cyclist on the road,0.8973560333251953,Arrest,0.7713837623596191,-0.12597227096557617,0.8842968940734863
Arrest,2,law enforcement surrounding a suspect beside a police vehicle,0.8828680515289307,RoadAccidents,0.7545236349105835,-0.12834441661834717,0.885991096496582
Shooting,0,an armed person aiming a firearm and firing shots,0.95986008644104,Arrest,0.8251269459724426,-0.1347331404685974,0.9370204210281372
Arrest,3,a detained suspect kneeling while officers secure handcuffs,0.903600811958313,Robbery,0.76133131980896,-0.14226949214935303,0.8763166666030884
RoadAccidents,3,vehicles swerving and colliding during a sudden accident,0.911586344242096,Arrest,0.7657814621925354,-0.14580488204956055,0.9010029435157776
Arrest,4,police guiding a restrained person during formal detention,0.8948662877082825,Stealing,0.7385866641998291,-0.15627962350845337,0.8219609260559082
RoadAccidents,4,a pedestrian knocked down by a vehicle near a crossing,0.8967959880828857,Arrest,0.7373923063278198,-0.15940368175506592,0.8842968940734863
Arrest,1,officers escorting a handcuffed person toward a patrol car,0.9082332253456116,Shooting,0.7336411476135254,-0.17459207773208618,0.8322389125823975
RoadAccidents,7,a traffic accident with a vehicle spinning to a halt,0.9499354362487793,Vandalism,0.7706015110015869,-0.17933392524719238,0.9010029435157776
Arrest,5,uniformed officers searching a suspect beside a patrol car,0.8904439806938171,Shooting,0.7110811471939087,-0.17936283349990845,0.885991096496582
RoadAccidents,9,a motorbike rider falling during an intersection collision,0.9079947471618652,Stealing,0.7163454294204712,-0.19164931774139404,0.842868983745575
RoadAccidents,2,a motorbike sliding across a lane after a crash,0.8639246225357056,Stealing,0.6663318872451782,-0.19759273529052734,0.842868983745575
Arrest,0,uniformed police placing handcuffs on a detained suspect,0.9389046430587769,Shooting,0.7330337762832642,-0.2058708667755127,0.8730738162994385
Arrest,7,officers controlling a detainee during a roadside arrest,0.8968117833137512,Shooting,0.6883021593093872,-0.208509624004364,0.8730738162994385
Normal,6,people entering and exiting buildings at a steady pace,0.8947227001190186,Explosion,0.6724951267242432,-0.2222275733947754,0.864275336265564
Normal,4,workers performing routine tasks in a calm store,0.8495703339576721,Shoplifting,0.6241805553436279,-0.2253897786140442,0.7821423411369324
Normal,1,people chatting casually in an ordinary public area,0.9082835912704468,Arson,0.6584990620613098,-0.24978452920913696,0.8651701211929321
Normal,8,people standing calmly near counters and doorways,0.8900158405303955,Explosion,0.6284885406494141,-0.26152729988098145,0.864275336265564
Normal,0,pedestrians walking calmly along a quiet street,0.9409130811691284,Explosion,0.6260635852813721,-0.31484949588775635,0.9021676778793335
Normal,5,pedestrians crossing a walkway with regular spacing,0.8821952939033508,Arrest,0.5483629703521729,-0.333832323551178,0.9021676778793335
Normal,7,a public area with ordinary walking and waiting,0.9190049171447754,Arson,0.574000895023346,-0.34500402212142944,0.8857415318489075
Normal,2,vehicles moving normally through regular traffic flow,0.8830679059028625,Explosion,0.5135825872421265,-0.3694853186607361,0.9173883199691772
Normal,3,shoppers browsing shelves and paying at checkout,0.8899385929107666,Explosion,0.5138616561889648,-0.37607693672180176,0.9052993655204773
Normal,9,an orderly scene with predictable everyday activity,0.868782639503479,Explosion,0.481558620929718,-0.387224018573761,0.9173883199691772
