eval_video_label,prompt_class_name,prompt_class_index,prompt_index,prompt_text,auc,ap,positive_mean,negative_mean,margin
Abuse,Normal,0,0,normal an orderly scene with predictable everyday human activity,44.96048850574713,5.214830583881774,0.3658480942249298,0.38129985332489014,-0.015451759099960327
Abuse,Abuse,1,0,abuse a vulnerable victim enduring repeated close range mistreatment,64.39655172413794,7.64816870197219,0.854982852935791,0.7971725463867188,0.057810306549072266
Abuse,Arrest,2,0,arrest a person being arrested by uniformed police officers,66.19252873563218,7.923737144275821,0.8724401593208313,0.8181961178779602,0.054244041442871094
Abuse,Arson,3,0,arson a person lighting material before flames spread,38.024425287356316,4.515653919267708,0.35985058546066284,0.4018491506576538,-0.04199856519699097
Abuse,Assault,4,0,assault an attacker swinging arms repeatedly at another person,41.734913793103445,4.712496129047665,0.4818447530269623,0.5019358992576599,-0.020091146230697632
Abuse,Burglary,5,0,burglary a person illegally entering a building to steal property,66.25,8.113206610284463,0.8656097650527954,0.8145552277565002,0.051054537296295166
Abuse,Explosion,6,0,explosion a powerful blast destroying an object or structure,54.82399425287356,6.1496106766197975,0.47800683975219727,0.4837670922279358,-0.005760252475738525
Abuse,Fighting,7,0,fighting a public fight where both sides are physically attacking,68.01724137931035,8.304727567046484,0.6922430992126465,0.6413400769233704,0.05090302228927612
Abuse,RoadAccidents,8,0,roadAccidents a vehicle collision causing roadway impact and disruption,64.57614942528735,8.64923079846531,0.9325020909309387,0.9056283235549927,0.026873767375946045
Abuse,Robbery,9,0,robbery a threatening person demanding valuables from a victim,66.42241379310346,8.064471679045877,0.7191974520683289,0.652173638343811,0.06702381372451782
Abuse,Shooting,10,0,shooting a shooting incident involving a visible gun,38.2183908045977,4.511905314635245,0.3729873299598694,0.40984708070755005,-0.036859750747680664
Abuse,Shoplifting,11,0,shoplifting a person secretly taking merchandise from a store without paying,67.5969827586207,8.238533563427492,0.47597289085388184,0.4354356825351715,0.04053720831871033
