class_name,prompt_index,prompt_text,own_class_similarity,best_other_class,best_other_similarity,other_minus_own,nearest_same_class_prompt_similarity
Robbery,2,an attacker cornering a victim and seizing items,0.8328180313110352,Arrest,0.9134412407875061,0.08062320947647095,0.9102154970169067
Stealing,1,"a thief grabbing a bicycle, bag, phone, or object",0.8485414981842041,Vandalism,0.8896450996398926,0.04110360145568848,0.8290071487426758
Robbery,3,a person brandishing a weapon to demand property,0.8796446323394775,Abuse,0.91079181432724,0.03114718198776245,0.9102154970169067
Burglary,0,an intruder forcing entry through a locked doorway,0.8984900712966919,Explosion,0.9248117208480835,0.0263216495513916,0.9164389371871948
Vandalism,1,a suspect spraying graffiti directly onto public property,0.7786477208137512,Stealing,0.8004500865936279,0.02180236577987671,0.7726732492446899
Stealing,4,a thief quietly removing property from public space,0.8901119828224182,Vandalism,0.911033034324646,0.020921051502227783,0.8290071487426758
Arson,3,small flames expanding after deliberate human ignition,0.8968956470489502,Explosion,0.9110844135284424,0.014188766479492188,0.8657258749008179
Burglary,4,an intruder entering rooms after damaging an entry point,0.8978180885314941,Robbery,0.9061183333396912,0.008300244808197021,0.8429051041603088
Vandalism,4,a person deliberately damaging property with tools or kicks,0.9183922410011292,Stealing,0.9253934025764465,0.007001161575317383,0.8272369503974915
Vandalism,3,someone striking fixtures until visible damage appears,0.87313312292099,Explosion,0.8752708435058594,0.0021377205848693848,0.8789544105529785
Abuse,3,a defenseless victim shielding from repeated aggressive contact,0.9067250490188599,Assault,0.9021098017692566,-0.0046152472496032715,0.8603729009628296
Vandalism,2,a person breaking glass with repeated tool impacts,0.9347421526908875,Explosion,0.9205378293991089,-0.014204323291778564,0.9162875413894653
Burglary,2,a masked intruder breaking into a closed building,0.9180187582969666,Vandalism,0.8997980356216431,-0.018220722675323486,0.9164389371871948
Abuse,2,a helpless person recoiling from sustained physical abuse,0.9392896890640259,Vandalism,0.9195718765258789,-0.019717812538146973,0.912151038646698
Fighting,2,opponents separating and reengaging in group fighting,0.9380583763122559,Explosion,0.9169186949729919,-0.021139681339263916,0.904682993888855
Fighting,4,two sides clashing back and forth in public,0.9270763397216797,Assault,0.9040191173553467,-0.023057222366333008,0.8973600268363953
Burglary,1,a person prying a lock before entering property,0.932191789150238,Stealing,0.9083058834075928,-0.023885905742645264,0.8475381135940552
RoadAccidents,1,a car striking a pedestrian or cyclist on road,0.9154039025306702,Vandalism,0.8902126550674438,-0.02519124746322632,0.8592313528060913
Explosion,4,a sudden pressure wave following a visible detonation,0.9336671829223633,Arson,0.9077737331390381,-0.025893449783325195,0.8705117702484131
Explosion,1,a shockwave pushing fragments outward within seconds,0.914154052734375,Abuse,0.887649416923523,-0.02650463581085205,0.8705117702484131
Arson,4,a person retreating as planted fire starts spreading,0.9616930484771729,Explosion,0.9342740774154663,-0.027418971061706543,0.9081807136535645
Arson,2,a lighter touching a surface before ignition begins,0.9396423101425171,Explosion,0.9113907217979431,-0.028251588344573975,0.8861891031265259
Vandalism,0,a person smashing a window or door with force,0.9287903308868408,Explosion,0.9004197716712952,-0.028370559215545654,0.9162875413894653
Burglary,3,a person climbing through a window into private space,0.8437165021896362,Robbery,0.8151281476020813,-0.02858835458755493,0.8429051041603088
Assault,2,an aggressor kicking a fallen victim on pavement,0.9452142119407654,Abuse,0.9151934385299683,-0.03002077341079712,0.9055899977684021
Arson,0,a person lighting flammable material before flames spread,0.8790618181228638,Robbery,0.8464999198913574,-0.03256189823150635,0.8887408971786499
Abuse,1,a stronger aggressor controlling a weaker victim indoors,0.9631931781768799,Assault,0.9275757670402527,-0.0356174111366272,0.920171320438385
