class_name,class_index,prompt_index,prompt_text,auc,ap,positive_mean,negative_mean,margin,best_other_class,other_minus_own,suggested_action,reasons
Normal,0,3,customers standing calmly near store counters,30.55042817516413,4.96799517568317,0.6988829374313354,0.8062116503715515,-0.10732871294021606,RoadAccidents,-0.8078678846359253,drop_or_rewrite,negative_margin;low_ap
Normal,0,2,vehicles moving steadily through regular traffic,32.617813068862404,5.108872708484413,0.6922071576118469,0.7877746820449829,-0.09556752443313599,RoadAccidents,-0.8012615442276001,drop_or_rewrite,negative_margin;low_ap
Normal,0,0,pedestrians walking calmly along an ordinary street,40.05818718074609,5.744795863657242,0.6424570083618164,0.6989815831184387,-0.056524574756622314,RoadAccidents,-0.7386353611946106,drop_or_rewrite,negative_margin;low_ap
Normal,0,1,people waiting and talking in a public area,40.5681710125392,5.79937709074823,0.6754738092422485,0.7246289253234863,-0.04915511608123779,Stealing,-0.7641679048538208,drop_or_rewrite,negative_margin;low_ap
Normal,0,4,people entering and exiting buildings at normal pace,42.19396444326008,5.958564023272672,0.676506757736206,0.7136891484260559,-0.037182390689849854,RoadAccidents,-0.8304569721221924,drop_or_rewrite,negative_margin;low_ap
Arson,3,3,small flames expanding after deliberate human ignition,83.30386484770769,22.11633562335372,0.6304840445518494,0.1851005107164383,0.44538354873657227,Explosion,0.014188766479492188,drop_or_rewrite,text_confusion
RoadAccidents,8,0,a vehicle collision causing roadway impact and disruption,79.93369189692903,19.710263101200304,0.7114963531494141,0.2390882521867752,0.47240811586380005,Stealing,-0.17626988887786865,drop_or_rewrite,low_ap
Burglary,5,0,an intruder forcing entry through a locked doorway,85.90384998707623,25.104160358533917,0.657494068145752,0.1740635484457016,0.48343050479888916,Explosion,0.0263216495513916,drop_or_rewrite,text_confusion
Vandalism,13,3,someone striking fixtures until visible damage appears,83.0955478216892,22.192707440871125,0.7218318581581116,0.2372831553220749,0.4845486879348755,Explosion,0.0021377205848693848,drop_or_rewrite,text_confusion
Vandalism,13,2,a person breaking glass with repeated tool impacts,84.60717224287745,22.883527655087306,0.6800565719604492,0.1953275203704834,0.4847290515899658,Explosion,-0.014204323291778564,drop_or_rewrite,text_confusion
Stealing,12,1,"a thief grabbing a bicycle, bag, phone, or object",86.17173584259903,27.02831170800054,0.6844741702079773,0.19421735405921936,0.49025681614875793,Vandalism,0.04110360145568848,drop_or_rewrite,text_confusion
Stealing,12,4,a thief quietly removing property from public space,81.96602730797554,22.26372634761188,0.7438348531723022,0.25074532628059387,0.4930895268917084,Vandalism,0.020921051502227783,drop_or_rewrite,text_confusion
Robbery,9,2,an attacker cornering a victim and seizing items,85.83226512543828,25.29171418614235,0.6891152262687683,0.18523964285850525,0.5038756132125854,Arrest,0.08062320947647095,drop_or_rewrite,text_confusion
Abuse,1,2,a helpless person recoiling from sustained physical abuse,85.97534658718735,25.473107958593467,0.699384868144989,0.19163605570793152,0.5077488422393799,Vandalism,-0.019717812538146973,drop_or_rewrite,text_confusion
RoadAccidents,8,3,vehicles swerving before colliding in traffic,79.33627362406322,19.319935690753994,0.7872506380081177,0.27883732318878174,0.5084133148193359,Stealing,-0.1227220892906189,drop_or_rewrite,low_ap
Burglary,5,2,a masked intruder breaking into a closed building,86.16887750917772,25.65475031168844,0.7246443033218384,0.20329487323760986,0.5213494300842285,Vandalism,-0.018220722675323486,drop_or_rewrite,text_confusion
Vandalism,13,1,a suspect spraying graffiti directly onto public property,81.86141136690735,23.045131128068036,0.8192360401153564,0.29476162791252136,0.5244743824005127,Stealing,0.02180236577987671,drop_or_rewrite,text_confusion
Robbery,9,3,a person brandishing a weapon to demand property,85.95462913062464,26.621713824491277,0.7380398511886597,0.21291989088058472,0.525119960308075,Abuse,0.03114718198776245,drop_or_rewrite,text_confusion
Burglary,5,4,an intruder entering rooms after damaging an entry point,85.17808303258926,27.22061102382567,0.7911362051963806,0.2554267942905426,0.5357093811035156,Robbery,0.008300244808197021,drop_or_rewrite,text_confusion
Vandalism,13,4,a person deliberately damaging property with tools or kicks,85.36262290000583,32.00784274387907,0.7857659459114075,0.24899718165397644,0.5367687940597534,Stealing,0.007001161575317383,drop_or_rewrite,text_confusion
Abuse,1,3,a defenseless victim shielding from repeated aggressive contact,85.97466293104543,25.878363308460596,0.7596921324729919,0.21811087429523468,0.5415812730789185,Assault,-0.0046152472496032715,drop_or_rewrite,text_confusion
Explosion,6,2,a structure bursting apart from explosive force,83.03315452138632,22.262846811666627,0.6357119083404541,0.18753908574581146,0.44817280769348145,Shooting,-0.05704599618911743,keep,
